sim_time,r_DC_Hc,v_DC_Hc,sigma_BN,reward,dV_remaining,hill_x,hill_y,hill_z,sigma_1,sigma_2,sigma_3
0.5,[-278.65228231  293.47577155 -438.12923861],[ 0.01656454  0.05279258 -0.01287778],[-0.73347054 -0.58374875 -0.10398707],2.816251167378249,49.946517217936446,-278.6522823054726,293.47577154940774,-438.1292386131601,-0.7334705423795179,-0.583748748106752,-0.10398706542512771
1.0,[-278.11057971  294.26814714 -438.02473033],[0.05056638 0.07840389 0.01259925],[-0.72737715 -0.57841232 -0.11067627],2.800474380100919,49.89303443587289,-278.1105797070767,294.268147142528,-438.024730325773,-0.7273771468643934,-0.5784123205530183,-0.1106762743783757
1.5,[-277.22615417  295.31323803 -437.66544172],[0.08510849 0.10332383 0.03807013],[-0.725358   -0.57367877 -0.12437999],2.772578037565207,49.83955165380934,-277.22615417128964,295.31323802643146,-437.66544171766435,-0.7253580030647239,-0.5736787679932115,-0.12437999110630178
2.0,[-275.99362342  296.60407892 -437.05144624],[0.12018678 0.1275424  0.06353224],[-0.72971976 -0.56609761 -0.13847618],2.733548503074026,49.78606887174578,-275.9936234187001,296.604078924408,-437.0514462420309,-0.729719764581377,-0.5660976137394385,-0.13847617709509202
2.5,[-274.40764623  298.13360495 -436.18284335],[0.15579714 0.15104971 0.08898298],[-0.73309002 -0.55306287 -0.15031556],2.6846575339730876,49.73258608968223,-274.40764623348997,298.1336049466943,-436.18284335048804,-0.7330900238383824,-0.5530628745929392,-0.15031555963885482
3.0,[-272.46292273  299.89465248 -435.05975841],[0.1919354  0.17383593 0.11441977],[-0.73244702 -0.53739727 -0.16470747],2.627339016825744,49.679103307618675,-272.4629227322565,299.89465248230664,-435.05975841024434,-0.7324470169868191,-0.5373972670688226,-0.16470747341190412
3.5,[-270.15419463  301.8799601  -433.68234263],[0.22859741 0.19589133 0.13984002],[-0.73205407 -0.5206738  -0.18434393],2.563072794389362,49.62562052555512,-270.15419462616103,301.8799600953535,-433.6823426314204,-0.7320540653632309,-0.5206737975495804,-0.18434393033752286
4.0,[-267.47624548  304.08216942 -432.05077298],[0.26577895 0.21720627 0.16524115],[-0.73542869 -0.50479775 -0.20702271],2.493290480274348,49.57213774349157,-267.4762454809121,304.08216941885235,-432.0507729833999,-0.7354286909069017,-0.5047977479831943,-0.20702270801747896
4.5,[-264.42390098  306.49382605 -430.16525212],[0.30347582 0.2377712  0.19062059],[-0.74265558 -0.48995517 -0.22786136],2.4193096571548205,49.51865496142801,-264.4239009774077,306.49382605225463,-430.165252116795,-0.7426555754817442,-0.48995517464738203,-0.22786135737737384
5.0,[-260.99202915  309.10738045 -428.02600828],[0.34168375 0.25757667 0.2159758 ],[-0.74940699 -0.47447896 -0.2438048 ],2.342295819667025,49.46517217936446,-260.992029152737,309.1073804454826,-428.0260082757133,-0.7494069904247226,-0.4744789565712822,-0.24380479748098283
5.5,[-257.17554066  311.9151888  -425.63329522],[0.38039848 0.27661328 0.24130421],[-0.751649   -0.45946868 -0.25759443],2.263247206101711,49.411689397300904,-257.17554065987173,311.91518879789874,-425.63329521902057,-0.7516489966369532,-0.4594686833458324,-0.2575944255403282
6.0,[-252.969389    314.90951394 -422.98739213],[0.41961571 0.29487177 0.2666033 ],[-0.75198742 -0.44527453 -0.27292963],2.1829961294361904,49.35820661523735,-252.96938899772388,314.90951393917635,-422.9873921324805,-0.7519874161629874,-0.44527452701132814,-0.27292962603077225
6.5,[-248.36857075  318.08252622 -420.08860354],[0.45933112 0.31234294 0.29187052],[-0.75330735 -0.43095979 -0.28979117],2.102220708902477,49.304723833173796,-248.3685707533733,318.0825262204506,-420.08860354337935,-0.753307351890568,-0.43095979168304477,-0.28979116742649275
7.0,[-243.36812583  321.42630439 -416.93725923],[0.49954037 0.32901767 0.31710337],[-0.75642737 -0.41735567 -0.30648575],2.0214620928336005,49.25124105111024,-243.3681258340763,321.4263043937477,-416.93725922739804,-0.7564273698298817,-0.41735567233649634,-0.30648574944388707
7.5,[-237.9631377   324.9328365  -413.53371412],[0.54023908 0.34488696 0.34229932],[-0.76042823 -0.40470582 -0.32104961],1.9411436751982591,49.19775826904669,-237.96313769832705,324.93283649781694,-413.53371412388094,-0.7604282338182629,-0.40470581709281706,-0.32104960967536766
8.0,[-232.14873358  328.59402074 -409.87834824],[0.58142287 0.35994185 0.36745588],[-0.76345407 -0.39327276 -0.33315973],1.8615900710931648,49.14427548698313,-232.14873357624788,328.59402074045033,-409.8783482432163,-0.7634540724802477,-0.3932727590814139,-0.33315973149804107
8.5,[-225.9200847   332.40166637 -405.97156658],[0.62308734 0.37417352 0.39257055],[-0.76451499 -0.38231315 -0.34405902],1.7830445886382698,49.09079270491958,-225.92008469745585,332.40166636805753,-405.97156657513074,-0.7645149907792027,-0.382313150718855,-0.34405901589647614
9.0,[-219.2724065   336.34749456 -401.813799  ],[0.66522804 0.38757321 0.41764085],[-0.7640681  -0.37123438 -0.35558803],1.705684608872574,49.037309922856025,-219.2724065044989,336.3474945560521,-401.8137989953665,-0.7640681035018035,-0.37123438011475796,-0.35558802749426416
9.5,[-212.20095886  340.42313926 -397.40550017],[0.70784052 0.40013223 0.44266431],[-0.76378656 -0.35999955 -0.36855526],1.629634713278271,48.98382714079247,-212.20095886491188,340.4231392617682,-397.40550016549815,-0.7637865621403922,-0.3599995451453239,-0.36855526395862753
10.0,[-204.70104628  344.62014811 -392.74714945],[0.75092032 0.41184202 0.46763846],[-0.76507108 -0.34911046 -0.38200942],1.5549776447562085,48.93034435872892,-204.70104627870612,344.62014811251373,-392.74714944920015,-0.7650710772841317,-0.3491104598558124,-0.3820094175206103
10.5,[-196.7680181   348.92998327 -387.8392508 ],[0.79446293 0.42269406 0.49256086],[-0.76789627 -0.33945871 -0.39411585],1.4817633135560857,48.87686157666536,-196.76801809715204,348.9299832659675,-387.8392508010361,-0.7678962678138426,-0.33945871366709707,-0.3941158513426275
11.0,[-188.39726871  353.34402228 -382.68233269],[0.83846385 0.43267996 0.51742906],[-0.77079044 -0.33147382 -0.40365774],1.410016107840557,48.82337879460181,-188.3972687139321,353.344022279645,-382.6823326860959,-0.7707904416624628,-0.3314738205508655,-0.4036577406549195
11.5,[-179.58423777  357.85355897 -377.27694796],[0.88291853 0.44179139 0.54224063],[-0.77207268 -0.32497351 -0.41123669],1.3397407736901155,48.769896012538254,-179.58423777088873,357.8535589681599,-377.27694795534654,-0.7720726787090602,-0.3249735141690513,-0.41123669270579893
12.0,[-170.32441035  362.44980427 -371.62367377],[0.92782242 0.4500201  0.56699315],[-0.77136336 -0.31899651 -0.41870075],1.270927110105518,48.7164132304747,-170.3244103486486,362.4498042672871,-371.6236737714992,-0.7713633562349361,-0.3189965126492458,-0.4187007450626621
12.5,[-160.61331717  367.12388709 -365.72311149],[0.97317095 0.45735795 0.59168421],[-0.77001515 -0.31292517 -0.42759616],1.2035536959714843,48.662930448411146,-160.61331717378988,367.123887090577,-365.7231114897962,-0.7700151535951248,-0.3129251739180776,-0.4275961571050002
13.0,[-150.4465348   371.86685519 -359.57588657],[1.01895953 0.46379686 0.61631141],[-0.76999552 -0.30701046 -0.43769768],1.137590833670069,48.60944766634759,-150.44653479984038,371.8668551885494,-359.57588656589763,-0.769995519291908,-0.30701046250106756,-0.4376976791038086
13.5,[-139.8196858   376.66967599 -353.18264844],[1.06518355 0.46932886 0.64087237],[-0.77210934 -0.30223721 -0.44712363],1.073002863565165,48.55596488428404,-139.81968579639275,376.669675994869,-353.18264844490176,-0.7721093381883543,-0.3022372074699713,-0.44712362748528134
14.0,[-128.72843894  381.52323748 -346.54407046],[1.11183837 0.47394604 0.66536469],[-0.77511773 -0.29937163 -0.4539106 ],1.0097499757578403,48.50248210222048,-128.72843894332914,381.523237477449,-346.5440704596373,-0.7751177257161886,-0.29937162899553893,-0.45391060205114714
14.5,[-117.1685094   386.41834899 -339.66084973],[1.15891935 0.47764058 0.68978603],[-0.77680791 -0.29873499 -0.45808846],0.9477896218689316,48.44899932015693,-117.16850939875285,386.41834898648284,-339.66084973352014,-0.7768079129990836,-0.2987349894034189,-0.45808846495249333
15.0,[-105.13565889  391.3457421  -332.53370706],[1.20642182 0.48040477 0.71413402],[-0.77593553 -0.29912154 -0.4615548 ],0.8870776095275538,48.395516538093375,-105.13565889239302,391.3457420954,-332.5337070558414,-0.7759355272212933,-0.2991215434858029,-0.4615548018916944
15.5,[ -92.6256959   396.29607144 -325.16338679],[1.2543411  0.48223095 0.73840631],[-0.77359823 -0.29946675 -0.46664734],0.8275689457909515,48.34203375602982,-92.62569590420502,396.29607144246836,-325.1633867894408,-0.7735982311561906,-0.29946675067191075,-0.46664734229996097
16.0,[ -79.63447583  401.25991557 -317.55065676],[1.30267249 0.48311156 0.76260059],[-0.77233953 -0.29958074 -0.47373154],0.7692184822678355,48.28855097396627,-79.63447583390924,401.25991557311687,-317.5506567624967,-0.7723395251627079,-0.29958074166166615,-0.47373153565422654
16.5,[ -66.15790118  406.22777777 -309.69630816],[1.35141126 0.48303911 0.78671451],[-0.77375    -0.30047814 -0.48074972],0.711981404071766,48.23506819190271,-66.15790117990176,406.2277777685625,-309.6963081559428,-0.7737500011232298,-0.30047813822186914,-0.48074972157324286
17.0,[ -52.19192171  411.19008689 -301.60115539],[1.40055269 0.48200622 0.81074578],[-0.77671072 -0.3033345  -0.48502095],0.6558135957536713,48.18158540983916,-52.19192171159422,411.19008688503186,-301.60115538838494,-0.7767107240508072,-0.3033345030823901,-0.48502095451898986
17.5,[ -37.73253464  416.13719817 -293.26603601],[1.45009202 0.48000556 0.8346921 ],[-0.77828033 -0.30848727 -0.48597802],0.6006719108040067,48.128102627775604,-37.73253463590262,416.13719817375033,-293.2660360107247,-0.7782803323893159,-0.3084872734442683,-0.485978017184691
18.0,[ -22.77578477  421.05939412 -284.6918106 ],[1.50002449 0.47702991 0.85855117],[-0.77637541 -0.31462775 -0.48598903],0.5465143655262499,48.07461984571205,-22.775784774973484,421.05939411776296,-284.6918105970554,-0.7763754137004795,-0.3146277534484148,-0.48598903353214873
18.5,[  -7.31776472  425.94688525 -275.87936263],[1.5503453  0.47307212 0.88232073],[-0.77240916 -0.32058409 -0.48832749],0.49330027387614794,48.021137063648496,-7.317764718768965,425.94688525207147,-275.87936262768113,-0.7724091572013574,-0.32058409244185315,-0.48832748611675336
19.0,[   8.64538499  430.78981098 -266.82959837],[1.60104965 0.46812511 0.9059985 ],[-0.77008007 -0.32595479 -0.49299245],0.4409903363392526,47.96765428158494,8.64538499189672,430.78981098096335,-266.8295983747387,-0.7700800684708967,-0.3259547872966454,-0.4929924461265201
19.5,[  25.11747572  435.5782404  -257.5434468 ],[1.65213273 0.4621819  0.92958225],[-0.77094367 -0.33234943 -0.49621436],0.3895466931950678,47.91417149952139,25.11747572213606,435.57824040144516,-257.5434468031428,-0.7709436657787162,-0.33234942922607247,-0.49621436399973273
20.0,[  42.10227056  440.30217312 -248.02185943],[1.7035897  0.45523559 0.95306972],[-0.7725272  -0.34084722 -0.49474675],0.33893295032439974,47.86068871745783,42.10227056104366,440.302173119273,-248.02185943387983,-0.77252719919726,-0.3408472192279342,-0.49474675468310014
20.5,[  59.60348418  444.95154005 -238.26581025],[1.7554157  0.44727935 0.97645869],[-0.77161852 -0.35198275 -0.48602939],0.28911418403273725,47.80720593539428,59.60348417662876,444.9515400542273,-238.26581024609948,-0.7716185157167983,-0.3519827505235672,-0.4860293885142048
21.0,[  77.62478264  449.51620426 -228.27629555],[1.80760589 0.43830644 0.99974694],[-0.76360497 -0.36489372 -0.47282874],0.24005692992785782,47.753723153330725,77.62478263892109,449.5162042623699,-228.2762955482599,-0.7636049691069502,-0.3648937159705852,-0.4728287354114058
21.5,[  96.16978328  453.98596174 -218.05433388],[1.86015536 0.42831019 1.02293228],[-0.75041469 -0.37965431 -0.46284022],0.19172915992746145,47.70024037126717,96.16978328288636,453.98596173506184,-218.0543338840385,-0.7504146887498135,-0.3796543084317629,-0.46284021631982497
22.0,[ 115.24205453  458.35054221 -207.60096588],[1.91305922 0.41728402 1.0460125 ],[-0.73895799 -0.39689952 -0.45944649],0.14410025046466454,47.64675758920362,115.2420545265216,458.35054220585783,-207.60096587580347,-0.7389579884028735,-0.3968995184910317,-0.4594464927532732
22.5,[ 134.84511574  462.59960996 -196.91725415],[1.96631256 0.40522143 1.06898544],[-0.73419544 -0.41476065 -0.46084938],0.09714094443297719,47.59327480714006,134.8451157356453,462.5996099551879,-196.9172541505994,-0.7341954397788066,-0.41476064842448257,-0.4608493752348752
23.0,[ 154.98243705  466.72276461 -186.00428319],[2.01991045 0.39211599 1.09184891],[-0.73465343 -0.4296541  -0.45774903],0.050823308762658934,47.53979202507651,154.98243705059616,466.722764610226,-186.0042831892192,-0.7346534333212251,-0.42965410232707824,-0.4577490285326151
23.5,[ 175.65743924  470.70954194 -174.86315923],[2.07384794 0.37796137 1.11460078],[-0.73011465 -0.44000683 -0.44989459],0.005120689145614031,47.486309243012954,175.65743924380948,470.7095419407939,-174.86315922961737,-0.7301146465290064,-0.44000683233241955,-0.44989459014071354
24.0,[ 196.87349356  474.54941466 -163.49501013],[2.12812007 0.3627513  1.13723888],[-0.71898543 -0.44925092 -0.44651523],-0.03999233691410149,47.4328264609494,196.87349355643727,474.54941465794974,-163.49501013214584,-0.7189854285186015,-0.4492509190157319,-0.446515234414758
24.5,[ 218.63392155  478.2317932  -151.90098527],[2.18272187 0.34647958 1.15976111],[-0.71083425 -0.46037637 -0.45030245],-0.08454000783626257,47.379343678885846,218.63392154992613,478.23179320227496,-151.90098526724117,-0.7108342458480806,-0.46037636868167825,-0.4503024473539296
25.0,[ 240.94199495  481.74602654 -140.08225539],[2.23764834 0.32914012 1.18216532],[-0.71024081 -0.47104134 -0.45318344],-0.1285454257952341,47.32586089682229,240.94199495027414,481.746026540912,-140.08225539114147,-0.7102408111401892,-0.4710413389496773,-0.45318344471867333
25.5,[ 263.80093549  485.08140295 -128.04001253],[2.29289449 0.31072689 1.20444943],[-0.70945221 -0.47740046 -0.44988105],-0.1720306041110292,47.27237811475874,263.80093548965897,485.0814029503439,-128.04001252554502,-0.7094522137047969,-0.4774004579783042,-0.4498810544666065
26.0,[ 287.21391476  488.22715081 -115.77546983],[2.34845528 0.29123393 1.22661134],[-0.70260281 -0.48099604 -0.44539577],-0.2150165138398437,47.21889533269518,287.2139147613278,488.22715080619975,-115.77546983246646,-0.7026028105188518,-0.4809960353328815,-0.4453957720730363
26.5,[ 311.18405406  491.17243937 -103.2898615 ],[2.40432568 0.27065538 1.24864896],[-0.6950001  -0.48555467 -0.44041835],-0.2575231292503686,47.16541255063163,311.18405406336177,491.17243936966514,-103.289861504735,-0.6950001012652658,-0.4855546652373661,-0.44041834953647957
27.0,[335.71442424 493.90637956 -90.58444265],[2.46050063 0.24898544 1.27056023],[-0.68746023 -0.49124193 -0.4339968 ],-0.2995694714261851,47.11192976929667,335.71442424125524,493.9063795615188,-90.58444264533628,-0.6874602322020549,-0.49124192969678515,-0.433996797510931
27.5,[360.80804554 496.41802475 -77.66048912],[2.51697508 0.22621839 1.2923431 ],[-0.67917935 -0.4978341  -0.42591665],-0.3411736527967464,47.058446987961716,360.80804554284384,496.4180247542303,-77.6604891208119,-0.6791793453534908,-0.497834101418906,-0.42591664895296
28.0,[386.46788746 498.69637154 -64.51929744],[2.57374393 0.20234861 1.31399552],[-0.66982128 -0.50560541 -0.41679056],-0.38235291652726866,47.00496420662676,386.46788745889245,498.6963715379375,-64.5192974448612,-0.6698212773995168,-0.5056054124103541,-0.4167905574590318
28.5,[412.69686857 500.73036051 -51.16218466],[2.63080209 0.17737051 1.33551546],[-0.66003049 -0.51491713 -0.40683593],-0.4231236768026383,46.9514814252918,412.696868574679,500.7303605107611,-51.16218466274113,-0.6600304916968345,-0.5149171335732591,-0.40683593032046905
29.0,[439.49785641 502.50887704 -37.59048822],[2.68814445 0.15127863 1.35690091],[-0.65025793 -0.52560372 -0.39535802],-0.46350155686210864,46.897998643956846,439.49785641380737,502.50887704125125,-37.59048822298887,-0.6502579319514687,-0.5256037198259785,-0.395358019057315
29.5,[466.87366728 504.02075203 -23.80556585],[2.74576586 0.12406755 1.37814986],[-0.63991804 -0.53719026 -0.38175179],-0.5035014254057822,46.84451586355934,466.87366728215784,504.02075203115146,-23.805565850330183,-0.6399180404107976,-0.5371902582083792,-0.3817517933641011
30.0,[494.82706612 505.25476272  -9.80879543],[2.8036612  0.09573195 1.39926032],[-0.62825124 -0.54961511 -0.36632748],-0.5431374317086827,46.79103308316183,494.827066120519,505.25476271601866,-9.80879542650039,-0.6282512447247496,-0.5496151097981142,-0.3663274848711129
30.5,[523.36076634 506.19963343   4.39842514],[2.8618253  0.06626657 1.42023031],[-0.61475237 -0.56297688 -0.35023002],-0.5824230387711771,46.73755030276432,523.3607663421819,506.1996334326772,4.39842514304322,-0.6147523685938727,-0.5629768812847372,-0.3502300173922592
31.0,[552.47742968 506.84403636  18.81467805],[2.92025298 0.03566623 1.44105786],[-0.59862411 -0.57753227 -0.33786693],-0.6213710552667555,46.68406752236681,552.4774296825457,506.84403636391505,18.814678048306487,-0.5986241065200834,-0.5775322741482437,-0.3378669280543254
