rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[ 6344449.59560588 -2308976.16519964 -2658717.0389571 ],[-2521.26160618 -6994.28392206    67.55380645],[ 6344195.70426415 -2309236.31487538 -2659017.72988057],[-2520.82736689 -6994.30478492    67.88173948],[-29.03308057 328.07319437 337.75547074],[ 0.60232364 -0.09476819 -0.45846897],[0.45395452 0.52045586 0.45895504],[ 5.46033763e-05 -8.49924012e-05 -7.33700067e-05],-0.20753305511815653,49.349687019441845
[ 6318906.32626793 -2378797.28512226 -2657902.40929637],[-2587.34797827 -6969.81854899    95.37076686],[ 6318661.69780431 -2379050.68008984 -2658215.30013858],[-2586.42066232 -6969.14164565    94.15250228],[-15.34915579 318.64304953 346.67532988],[ 1.35837921 -0.95669195  0.8898968 ],[-0.00817297  0.23905011  0.66962934],[-0.16206281  0.19539283 -0.11809263],-0.06431360551423249,47.58179983935354
[ 6292703.53337513 -2448370.11023702 -2656809.65573373],[-2653.16515166 -6944.62539582   123.17809435],[ 6292462.60228317 -2448597.86660423 -2657138.3501278 ],[-2652.79431885 -6942.06023791   121.59950244],[-11.74148397 293.25252082 363.07830444],[ 0.33454462 -2.54234302  1.63814431],[ 0.56461726 -0.54510739 -0.10121566],[-0.05770353  0.18942727  0.21834108],0.025392078738455212,45.58179983935354
[ 6265843.94383036 -2517687.3759352  -2655438.88937145],[-2718.70614809 -6918.70711422   150.97283447],[ 6265598.6163164  -2517879.5732341  -2655793.34016619],[-2719.14470156 -6915.15006934   148.39908209],[-15.44477976 261.34792276 392.70787966],[-0.40322109 -3.18622229  2.96069514],[-0.03314547 -0.16607907 -0.29168401],[-0.13665627  0.08143064 -0.10528315],0.10035790870249292,43.95833433045571
[ 6238330.35417065 -2586741.84452063 -2653790.25085036],[-2783.9640191  -6892.06643498   178.75203402],[ 6238070.7594182  -2586897.21941033 -2654171.49476653],[-2785.38972827 -6888.38318963   176.07480431],[-28.35992623 232.0506163  426.87930558],[-1.3218566  -2.91603737  3.41473764],[ 0.22036662  0.63092794 -0.51816008],[-0.09922695  0.18549915  0.02721914],0.12041130924456696,42.95556971308745
[ 6210165.63026521 -2655526.30599931 -2651863.91033601],[-2848.93184685 -6864.70616769   206.51274133],[ 6209883.74175983 -2655631.73230727 -2652280.63209457],[-2851.16035738 -6859.71043195   202.96731862],[-50.37482407 193.76160995 473.44659207],[-2.24131084 -3.80582149  4.65412744],[-0.38520093 -0.74057214  0.39332671],[ 0.09479973 -0.02757859  0.03701936],0.17526704301937757,41.1872150718122
[ 6181352.70700556 -2724033.57886599 -2649660.06750149],[-2913.60274485 -6836.62920045   234.2520066 ],[ 6181040.91857327 -2724088.22985444 -2650111.04235996],[-2916.59209206 -6831.55088901   230.82939616],[-80.41200484 158.20934228 521.6136439 ],[-3.04113561 -3.52389556  4.81388825],[0.20626121 0.09168233 0.96565993],[ 0.28091468 -0.31041493  0.10695265],0.19393078270614647,40.41175812249113
[ 6151894.58798776 -2792256.5108875  -2647178.95150685],[-2977.96985881 -6807.83849953   261.9668823 ],[ 6151559.36558465 -2792257.79388831 -2647682.20423359],[-2980.3127791  -6802.50104731   256.74216911],[-100.11945708  117.69816291  584.60435285],[-2.01364257 -4.03031197  6.29598132],[-0.5056488  -0.39618831  0.37127427],[ 0.09386183 -0.25158358 -0.02308639],0.21108384514635659,38.47466376219586
[ 6121794.34518695 -2860187.97988302 -2644420.82097518],[-3042.02636735 -6778.33710907   289.65442341],[ 6121428.69694516 -2860132.76815789 -2644977.07782838],[-3045.06864926 -6772.68710723   284.35750185],[-127.53003655   77.5923867   651.06387503],[-2.78390156 -3.98182458  6.64255639],[ 0.00532586  0.24969067 -0.72891137],[ 0.1211144  -0.24683553 -0.01461444],0.2352065503787675,37.704407414538906
[ 6091055.11862391 -2927820.89450085 -2641385.96396533],[-3105.76548283 -6748.12815071   317.31168784],[ 6090655.35980741 -2927719.55562037 -2641987.31006559],[-3109.17644198 -6743.51496516   312.80666983],[-157.56102669   49.35023821  710.23439033],[-3.03423338 -2.79275979  5.91336825],[-0.54449634 -0.40394568 -0.05981147],[ 0.08201234 -0.21152149  0.12620968],0.2031807172333159,36.35233867240447
[ 6059680.11602404 -2995148.19499194 -2638074.69794128],[-3169.18045211 -6717.21482327   344.93573673],[ 6059241.62509578 -2994995.51263933 -2638708.08643041],[-3173.0538524  -6712.08000285   341.73580857],[-198.937088     19.59731093  759.47821138],[-4.17083777 -2.93215488  4.920448  ],[ 0.81316654  0.11634887 -0.53348341],[-0.05724685 -0.01744898  0.08845637],0.19870417020469108,34.880637113133574
[ 6027672.61246848 -3062162.8539798  -2634487.36973803],[-3232.2645573  -6685.60040238   372.52363478],[ 6027196.6868086  -3061964.9302186  -2635157.01093786],[-3236.00850807 -6681.07575737   368.90307407],[-235.75341094   -4.58895506  811.478685  ],[-3.70977644 -2.38013724  5.19587131],[ 0.26427051  0.19033982 -0.73454162],[-0.18495485 -0.20768391 -0.08492932],0.19842776240156035,34.12212218355254
[ 5995035.9500376  -3128857.87722687 -2630624.35552428],[-3295.01111658 -6653.28824014   400.07245061],[ 5994538.69046747 -3128612.84414262 -2631339.84039165],[-3297.14517269 -6648.57683733   395.49316625],[-257.10799458  -37.3428301   867.0224219 ],[-2.17285036 -3.25266695  5.54993382],[-0.68468586  0.23224687  0.09240602],[-0.13096716 -0.24961301 -0.06568548],0.18648122560137514,32.23296379724364
[ 5961773.53744678 -3195226.30439722 -2626486.06076155],[-3357.41348489 -6620.28176471   427.57925709],[ 5961269.55142153 -3194928.06516582 -2627239.02378747],[-3358.08694326 -6614.96079091   423.83683202],[-272.86723577  -81.20198408  910.41286273],[-1.62499018 -4.36884268  4.33438425],[-0.50332968 -0.34269803  0.38693195],[ 0.02123003 -0.02215246 -0.07341209],0.17506285978365996,30.446581728666814
[ 5927888.84967457 -3261261.20981545 -2622072.92016006],[-3419.46505478 -6586.58447998   455.04113167],[ 5927375.26009165 -3260909.73173905 -2622863.43170133],[-3420.42638796 -6581.26035128   451.29196639],[-291.89033709 -123.44731861  954.87192094],[-1.94999121 -4.20408614  4.44105309],[-0.14069116 -0.08008482  0.62253949],[ 0.24865322 -0.01601148  0.07121125],0.19218336483333306,30.160025472789467
[ 5893385.42758327 -3326955.70322174 -2617385.39763114],[-3481.15925709 -6552.19996511   482.45515673],[ 5892875.60618145 -3326565.76011658 -2618214.84926513],[-3480.78348708 -6548.353351     478.56707462],[-293.66958536 -158.64587657  994.26010713],[-0.21856235 -3.51706645  3.93378744],[-0.81760504 -0.53164278 -0.12285285],[ 0.2569463  -0.20715616  0.16553951],0.13720888248665872,28.160025472789467
[ 5858266.87753189 -3392302.93052286 -2612423.98623624],[-3542.48956175 -6517.13187418   509.81841993],[ 5857780.49913393 -3391872.42924599 -2613295.03403896],[-3540.1462696  -6513.07617369   505.66489264],[-280.33846356 -205.21534057 1029.5225009 ],[ 1.28090229 -4.66956986  3.52104707],[-0.45482571  0.2663919   0.52669458],[ 0.0655295  -0.03282874  0.11718463],0.1616628883986321,26.160025472789467
[ 5822536.8709816  -3457296.07453925 -2607189.20813263],[-3603.44947852 -6481.38393577   537.1280145 ],[ 5822074.83054606 -3456825.71359735 -2608090.89302628],[-3601.01665831 -6477.39833545   534.07051011],[-270.88070615 -251.10178947 1054.19540956],[ 0.89444954 -4.59727529  2.46199137],[-0.22263395 -0.02226026  0.79670129],[-0.22004772 -0.00746336 -0.03363593],0.14732165288699778,25.070307468743188
[ 5786199.14409372 -3521928.35574777 -2601681.61451561],[-3664.03255774 -6444.95995253   564.38103966],[ 5785749.58848784 -3521432.65288348 -2602620.84336227],[-3662.78500424 -6442.42631301   560.63298006],[-262.32281197 -279.29765873 1087.7278883 ],[ 0.82273333 -2.82733958  3.34782791],[-0.00531783  0.76631267 -0.42252294],[-0.11531874 -0.04200523 -0.06625838],0.10594726758827508,23.070307468743188
[ 5749257.49732023 -3586193.03302031 -2595901.78555738],[-3724.23239107 -6407.86380073   591.57460087],[ 5748837.96928557 -3585672.07976743 -2596875.51336781],[-3721.23046005 -6405.33953915   588.13112813],[-241.51691745 -316.16634962 1112.31754922],[ 2.03886813 -3.70711653  2.45342607],[ 0.3066895  -0.52896001  0.48551113],[ 0.12258897  0.15938765 -0.06809105],0.12587750313256818,21.290147287570342
[ 5711715.79498682 -3650083.40435798 -2589850.33034252],[-3784.04261222 -6370.09942987   618.70581024],[ 5711330.2952378  -3649529.26959742 -2590866.09803838],[-3780.64049388 -6366.78235072   614.50832756],[-219.64543158 -362.94700866 1143.45299624],[ 2.13560712 -4.69935416  3.10788483],[0.21055228 0.24974576 0.61805695],[ 0.09054235  0.16623503 -0.04701486],0.1720915694034612,20.114821753026536
[ 5673577.96486871 -3713592.8076208  -2583527.88680003],[-3843.4568977  -6331.67086217   645.77178683],[ 5673233.69980924 -3713006.30176165 -2584586.61558543],[-3839.33400999 -6328.43516679   641.48226066],[-192.38319737 -413.3241486  1172.84527904],[ 2.67137994 -5.0644917   2.93345159],[ 0.31970996 -0.68989804 -0.28429028],[ 0.08024952  0.12892355 -0.04461511],0.1894284635910118,19.38099248244028
[ 5634847.99775898 -3776714.62125287 -2576935.12163206],[-3902.46896755 -6292.58219214   672.76965702],[ 5634540.95151958 -3776103.24616581 -2578046.55678466],[-3898.74749264 -6290.09703801   667.50569429],[-161.93264643 -456.72105771 1211.82865212],[ 2.99781586 -4.36974012  3.8924163 ],[ 0.30511123 -0.5599898   0.01358526],[-0.05786037  0.12498053 -0.023421  ],0.18812427104461668,18.079351569780954
[ 5595529.94702976 -3839442.26500285 -2570072.73023916],[-3961.07258604 -6252.83758609   699.69655481],[ 5595247.38658981 -3838794.13470196 -2571231.6566475 ],[-3958.62433146 -6249.16412914   694.95425803],[-150.34957146 -503.48803665 1251.76615724],[ 1.10796437 -4.68737579  3.98765867],[0.35796677 0.0243775  0.17965256],[ 0.17122614  0.14269517 -0.11388443],0.17359105599344724,16.262974393240892
[ 5555627.92818618 -3901769.20063965 -2562941.43664225],[-4019.26156241 -6212.44128169   726.54962217],[ 5555384.19346723 -3901091.21933685 -2564135.58780286],[-4015.37926535 -6209.45854306   723.03407945],[-129.38474665 -551.32946187 1274.50290952],[ 2.04528804 -4.80440052  2.26747335],[-0.04284449  0.71769708  0.24453016],[-0.07952347  0.12720725 -0.14195846],0.15417221551359947,14.262974393240892
